country,country_long,currency,capital_city,region,continent,demonym,latitude,longitude,agricultural_land,forest_area,land_area,rural_land,urban_land,central_government_debt_pct_gdp,expense_pct_gdp,gdp,inflation,self_employed_pct,tax_revenue_pct_gdp,unemployment_pct,vulnerable_employment_pct,electricity_access_pct,alternative_nuclear_energy_pct,electricty_production_coal_pct,electricty_production_hydroelectric_pct,electricty_production_gas_pct,electricty_production_nuclear_pct,electricty_production_oil_pct,electricty_production_renewable_pct,energy_imports_pct,fossil_energy_consumption_pct,renewable_energy_consumption_pct,co2_emissions,methane_emissions,nitrous_oxide_emissions,greenhouse_other_emissions,urban_population_under_5m,health_expenditure_pct_gdp,health_expenditure_capita,hospital_beds,hiv_incidence,suicide_rate,armed_forces,internally_displaced_persons,military_expenditure_pct_gdp,birth_rate,death_rate,fertility_rate,internet_pct,life_expectancy,net_migration,population_female,population_male,population,women_parliament_seats_pct,rural_population,urban_population,press,democracy_score,democracy_type,median_age,political_leader,title
Uganda,Republic of Uganda,Ugandan shilling,Kampala,Eastern Africa,Africa,Ugandan,1.00,32.00,144150.0,23379.0,200520,201995.0,3854.1,51.30,15.59,45559200000,7.196,78.101,12.46,4.28,74.07,45.22,,,,,,,,,,93.03,5674.60,21178.70,12404.20,680.51,0.00,3.96,33.90,0.50,1.30,4.60,46000,4800,2.42,36.80,5.88,4.59,10.34,63,43465,23848253,23401332,47249585,33.81,34889566,12360019,1.98,5.20,Hybrid regime,12.20,Yoweri Museveni,President
Ukraine,Ukraine,Ukrainian hryvnia,Kiev,Eastern Europe,Europe,Ukrainian,49.00,32.00,413110.0,96900.0,579400,569710.0,16271.3,58.72,33.26,160503000000,20.184,14.724,19.08,9.83,13.93,100.00,22.53,34.58,3.33,6.23,48.57,0.46,1.05,27.21,75.35,8.72,165664.00,32317.90,28400.50,-31170.10,0.75,7.62,269.73,7.46,0.15,21.60,311000,5914000,3.23,7.30,18.50,1.16,79.22,70,831,20550751,17449249,38000000,20.33,11430780,26569220,2.41,5.69,Hybrid regime,38.90,Volodymyr Zelensky,President
United Arab Emirates,United Arab Emirates,U.A.E. dirham,Abu Dhabi,Western Asia,Asia,Emirati,24.00,54.00,3898.0,3173.0,71020,77233.3,2263.1,1.85,4.34,507535000000,4.828,5.145,0.54,2.75,1.67,100.00,0.10,0.00,0.00,98.53,0.00,1.24,0.23,-183.84,86.13,0.92,188089.00,56944.70,1829.64,-16708.70,25.50,5.67,2191.81,1.38,,6.40,63000,,5.64,10.31,1.87,1.46,100.00,79,-2762,2893385,6547744,9441129,50.00,1176081,8265048,1.79,2.76,Authoritarian,29.30,Sheikh Khalifa bin Zayed Al Nahyan,President
United Kingdom,United Kingdom of Great Britain and Northern Ireland,Pound sterling,London,Northern Europe,Europe,British,54.00,-2.00,172593.0,31900.0,241930,218903.0,22676.0,186.48,43.96,3070670000000,7.922,14.314,26.38,3.57,12.34,100.00,13.12,22.81,1.87,29.74,20.91,0.63,22.97,34.63,80.35,13.50,308650.00,50415.70,27696.70,27049.70,2.08,11.94,5634.18,2.46,,7.90,149000,,2.22,10.10,9.70,1.56,96.68,81,202027,33876563,33094847,66971411,34.57,10448880,56522531,3.52,8.53,Full democracy,35.90,Rishi Sunak,Prime Minister
United States,United States of America,U.S. dollar,"Washington, D.C.",Northern America,Americas,American,38.00,-97.00,4058100.0,3097950.0,9147420,8903100.0,186573.0,120.37,31.35,25462700000000,8.003,6.605,11.23,3.61,4.28,100.00,11.87,34.23,5.84,31.94,19.32,0.90,7.39,7.31,82.43,11.16,4320530.00,748241.00,258002.00,37873.40,1.48,18.82,11702.40,2.87,0.11,16.10,1388000,,3.48,11.00,10.40,1.66,91.75,76,561580,168266219,165021339,333287557,28.70,56378923,276908634,3.04,7.96,Flawed democracy,33.90,Joe Biden,President
Uruguay,Oriental Republic of Uruguay,Uruguayan peso,Montevideo,South America,Americas,Uruguayan,-33.00,-56.00,140634.0,20310.0,175020,173707.0,1017.9,60.28,34.62,71177100000,9.104,28.831,18.52,7.84,25.51,100.00,14.75,0.00,60.16,0.00,0.00,11.44,28.40,44.43,46.27,61.09,6514.30,20393.60,7967.68,861.99,1.90,9.15,1429.51,2.43,0.27,21.20,22000,,2.26,10.47,12.16,1.49,90.07,75,-1486,1764421,1658372,3422794,25.25,147591,3275203,4.87,8.38,Full democracy,31.50,Luis Lacalle Pou,President
Uzbekistan,Republic of Uzbekistan,Uzbek som,Tashkent,Central Asia,Asia,Uzbekistani,41.00,64.00,256825.0,36896.6,440650,412602.0,15432.2,,21.01,80391900000,11.447,46.382,14.79,6.01,34.06,99.90,1.92,4.09,20.65,75.01,0.00,0.26,0.00,-26.16,97.74,1.03,115578.00,53601.90,16989.30,-867.34,0.00,6.75,120.50,3.98,0.11,8.00,68000,3400,3.56,25.90,5.00,3.17,76.59,71,-39201,17809564,17838536,35648100,33.33,17657930,17990170,1.46,2.01,Authoritarian,22.70,Shavkat Mirziyoyev,President
Vanuatu,Republic of Vanuatu,Vanuatu vatu,Port Vila,Melanesia,Oceania,Ni-Vanuatu,-16.00,167.00,1870.0,4423.0,12190,12337.6,27.9,27.30,34.04,983583000,2.343,67.303,14.04,2.09,66.77,70.04,,,,,,,,,0.00,22.73,121.30,374.33,86.28,52.29,1.79,3.97,114.23,1.70,,18.00,,,,29.44,5.40,3.74,66.34,70,-197,162433,164308,326740,1.92,242389,84351,0.00,0.00,Unknown,15.60,Charlot Salwai,Prime Minister
Venezuela,República Bolivariana de Venezuela,Venezuelan bolivar fuerte,Caracas,South America,Americas,Venezuelan,8.00,-66.00,215000.0,462309.0,882050,899029.0,6249.0,,,482359000000,254.949,41.716,,5.33,39.96,99.99,8.25,0.00,63.70,19.42,0.00,16.89,0.00,-178.78,88.38,23.33,72509.00,97594.20,13097.20,-5114.26,3.25,3.82,142.46,0.87,,2.10,343000,,0.18,15.88,8.12,2.21,61.60,71,-525116,14304904,13996791,28301696,22.16,3289223,25012473,1.59,3.16,Authoritarian,24.20,Nicolás Maduro,President
Vietnam,Socialist Republic of Vietnam,Vietnamese dong,Hanoi,South-Eastern Asia,Asia,Vietnamese,16.17,107.83,123600.0,146431.0,313429,297627.0,28615.4,,,408802000000,3.157,53.656,,1.92,51.68,100.00,6.94,29.57,36.61,33.21,0.00,0.49,0.12,-15.11,69.82,19.11,355323.00,79619.20,26832.50,22687.90,22.50,4.68,166.23,2.60,0.06,7.50,522000,,2.28,15.01,7.32,1.94,74.21,74,-992,49685569,48501287,98186856,30.26,60123739,38063117,1.04,3.08,Authoritarian,28.40,Nguyễn Phú Trọng,General Secretary of the Communist Party
West Bank and Gaza,West Bank and Gaza,Israeli new shekel,Ramallah,Western Asia,Asia,Palestinian,31.90,35.20,4449.0,101.4,6020,4390.9,1629.7,,26.17,19111900000,1.237,27.099,21.47,25.72,21.44,100.00,,,,,,,,,,14.73,,,,,0.19,,,1.20,,,0,12000,,28.24,3.82,3.50,74.60,73,-12369,2527169,2516444,5043612,,1145354,3898258,1.75,4.39,Hybrid regime,15.40,,
Yemen,Republic of Yemen,Yemeni rial,Sana'a,Western Asia,Asia,Yemeni,15.00,48.00,234520.0,5490.0,527970,452881.0,1795.4,,,21606200000,8.105,56.801,,13.59,50.62,74.88,0.00,0.00,0.00,39.80,0.00,60.20,0.00,-120.63,98.49,3.53,9960.10,10542.20,3364.86,-14418.00,1.01,4.25,63.30,0.71,0.04,5.80,40000,4523000,3.97,30.54,6.85,3.80,26.72,64,-101468,16673411,17023203,33696614,0.00,20491585,13205029,1.27,1.95,Authoritarian,14.80,Abdrabbuh Mansur Hadi,President
Zambia,Republic of Zambia,New Zambian kwacha,Lusaka,Eastern Africa,Africa,Zambian,-15.00,30.00,238360.0,448140.0,743390,740140.0,2079.1,71.25,25.08,29784500000,10.993,76.741,16.74,6.13,76.46,46.69,9.67,0.00,96.99,0.00,0.00,3.01,0.00,8.29,10.56,81.84,7607.10,15448.80,12363.50,1849.42,0.00,5.62,53.75,2.00,2.17,7.30,16000,,1.30,34.51,6.97,4.31,21.23,61,9015,10140033,9877642,20017675,15.06,10857387,9160288,2.15,5.61,Hybrid regime,13.20,Edgar Lungu,President
Zimbabwe,Republic of Zimbabwe,U.S. dollar,Harare,Eastern Africa,Africa,Zimbabwean,-20.00,30.00,162000.0,174446.0,386850,386236.0,2024.5,,10.98,20678100000,104.705,68.037,7.21,7.95,67.73,48.98,3.30,46.78,51.40,0.00,0.00,0.49,1.33,15.31,29.10,84.36,8312.50,12060.80,4690.85,1587.37,0.00,3.43,50.68,1.70,1.51,14.10,51000,,0.01,30.54,9.06,3.49,34.81,59,-25005,8614935,7705601,16320537,30.57,11033499,5287038,1.85,3.16,Authoritarian,14.20,Emmerson Mnangagwa,President
