country,country_long,currency,capital_city,region,continent,demonym,latitude,longitude,agricultural_land,forest_area,land_area,rural_land,urban_land,central_government_debt_pct_gdp,expense_pct_gdp,gdp,inflation,self_employed_pct,tax_revenue_pct_gdp,unemployment_pct,vulnerable_employment_pct,electricity_access_pct,alternative_nuclear_energy_pct,electricty_production_coal_pct,electricty_production_hydroelectric_pct,electricty_production_gas_pct,electricty_production_nuclear_pct,electricty_production_oil_pct,electricty_production_renewable_pct,energy_imports_pct,fossil_energy_consumption_pct,renewable_energy_consumption_pct,co2_emissions,methane_emissions,nitrous_oxide_emissions,greenhouse_other_emissions,urban_population_under_5m,health_expenditure_pct_gdp,health_expenditure_capita,hospital_beds,hiv_incidence,suicide_rate,armed_forces,internally_displaced_persons,military_expenditure_pct_gdp,birth_rate,death_rate,fertility_rate,internet_pct,life_expectancy,net_migration,population_female,population_male,population,women_parliament_seats_pct,rural_population,urban_population,press,democracy_score,democracy_type,median_age,political_leader,title
Nepal,Nepal,Nepalese rupee,Kathmandu,Southern Asia,Asia,Nepalese,28.00,84.00,41210.0,59620.3,143350,140133.0,3041.8,39.92,19.44,40828200000,4.088,78.331,17.49,11.12,77.25,89.90,5.24,0.00,99.80,0.00,0.00,0.00,0.20,16.68,15.48,74.54,14949.20,23643.70,7177.76,1576.21,0.00,5.17,58.31,0.30,,9.00,112000,2,1.34,20.40,7.78,2.03,51.63,68,296541,15901334,14646246,30547580,33.09,23994819,6552761,2.34,5.18,Hybrid regime,20.00,KP Sharma Oli,Prime Minister
Netherlands,Kingdom of the Netherlands,Euro,Amsterdam,Western Europe,Europe,Dutch,52.50,5.75,18144.5,3695.0,33670,26211.9,8322.5,54.29,42.45,991115000000,10.001,15.679,24.78,3.54,12.29,100.00,3.37,38.65,0.08,42.28,3.51,1.30,12.36,35.02,93.46,10.79,130315.00,15200.60,8336.91,-2379.28,43.81,11.21,6531.01,3.17,0.01,11.80,41000,,1.42,10.20,9.80,1.62,92.05,81,57439,8904226,8798863,17703090,40.67,1259398,16443692,9.06,8.89,Full democracy,37.90,Mark Rutte,Prime Minister
New Zealand,New Zealand,New Zealand dollar,Wellington,Australia and New Zealand,Oceania,New Zealander,-41.00,174.00,101540.0,98925.9,263310,270549.0,1970.3,50.99,33.40,247234000000,7.172,20.003,28.84,3.25,13.57,100.00,13.99,4.25,55.50,15.53,0.00,0.00,24.58,19.48,59.75,28.61,31359.70,32241.90,14909.90,-646.20,2.22,10.03,4201.63,2.57,0.02,11.00,9000,,1.37,11.48,6.83,1.64,95.91,82,38220,2584111,2539990,5124100,50.42,672077,4452023,7.27,9.26,Full democracy,32.80,Jacinda Ardern,Prime Minister
Nicaragua,Republic of Nicaragua,Nicaraguan gold cordoba,Managua,Central America,Americas,Nicaraguan,13.00,-85.00,50650.0,34075.3,120340,118298.0,992.8,,17.25,15671600000,10.467,43.002,18.90,5.57,37.72,86.29,3.34,0.00,6.44,0.00,0.00,49.95,43.61,40.86,40.70,52.13,4582.20,9584.81,3567.37,574.55,0.94,8.63,161.20,0.93,0.08,4.40,12000,77,0.60,20.51,4.86,2.32,57.15,74,-10384,3524605,3423787,6948392,51.65,2810208,4138184,2.20,3.63,Authoritarian,20.90,Daniel Ortega,President
Niger,Republic of Niger,West African CFA franc,Niamey,Western Africa,Africa,Nigerien,16.00,8.00,465970.0,10797.0,1266700,1187980.0,1314.0,,10.16,13969600000,4.226,95.102,11.76,0.53,94.32,18.60,0.01,41.62,0.00,0.00,0.00,57.63,0.75,-5.81,24.06,81.91,2197.95,28579.40,13245.90,431.53,0.00,6.20,35.01,0.39,0.04,5.30,10000,372000,1.84,45.29,8.14,6.82,22.39,62,-4405,12914594,13293383,26207977,25.90,21780401,4427576,2.67,3.76,Authoritarian,10.50,Mahamadou Issoufou,President
Nigeria,Federal Republic of Nigeria,Nigerian naira,Abuja,Western Africa,Africa,Nigerian,10.00,8.00,694500.0,216270.0,910770,882025.0,25189.9,,,477386000000,18.847,80.583,,5.76,78.64,59.50,0.27,0.00,18.20,81.80,0.00,0.00,0.00,-93.03,18.88,82.51,111978.00,151060.00,41196.30,38585.80,2.72,3.38,69.76,0.50,0.34,3.50,223000,3646000,0.97,37.12,13.08,5.24,55.36,53,-76364,108093075,110448136,218541212,3.61,101575770,116965442,2.14,4.44,Hybrid regime,13.20,Muhammadu Buhari,President
North Macedonia,Republic of North Macedonia,Macedonian denar,Skopje,Southern Europe,Europe,Macedonian,41.83,22.00,12620.0,10014.9,25220,23681.0,701.3,,33.75,13563100000,14.205,17.122,17.61,15.08,13.47,100.00,5.53,58.36,33.03,3.24,0.00,2.46,2.90,51.77,79.43,20.26,6796.70,2369.77,546.64,-1436.73,0.00,7.89,452.97,4.28,,9.40,16000,110,1.54,10.20,15.50,1.60,83.02,75,-486,1032057,1025621,2057679,41.67,841220,1216459,2.47,5.87,Hybrid regime,34.50,Oliver Spasovski,President
Norway,Kingdom of Norway,Norwegian krone,Oslo,Northern Europe,Europe,Norwegian,62.00,10.00,9859.6,121800.0,364285,306188.0,2007.8,30.75,37.54,579267000000,5.764,4.495,25.75,3.17,3.64,100.00,31.32,0.10,95.83,1.81,0.00,0.02,1.88,-581.35,56.95,61.29,36177.40,4342.76,3522.99,-3686.01,2.89,10.09,9020.63,3.53,0.01,11.80,23000,,1.84,10.40,7.80,1.55,99.00,83,10604,2703524,2753603,5457127,44.97,891476,4565651,10.00,9.87,Full democracy,35.60,Erna Solberg,Prime Minister
Oman,Sultanate of Oman,Omani rial,Muscat,Western Asia,Asia,Omani,21.00,57.00,14589.3,25.0,309500,309152.0,1500.5,,,114667000000,2.812,3.480,,2.33,2.45,100.00,0.00,0.00,0.00,97.37,0.00,2.63,0.00,-206.20,99.96,0.05,71041.50,19838.90,1031.91,-16105.80,5.06,5.33,844.62,1.47,0.05,4.90,47000,,7.34,18.42,3.80,2.62,96.38,73,-20664,1790804,2785494,4576298,2.33,560597,4015701,1.80,3.04,Authoritarian,24.90,Haitham bin Tariq,Sultan and Prime Minister
Pakistan,Islamic Republic of Pakistan,Pakistani rupee,Islamabad,Southern Asia,Asia,Pakistani,30.00,70.00,367230.0,37259.0,770880,821721.0,39082.0,66.75,15.50,376533000000,19.874,55.615,9.10,6.42,54.26,94.92,4.03,0.14,30.67,25.73,4.76,37.23,0.76,24.12,61.59,46.60,184111.00,169428.00,68971.80,10236.20,0.21,2.95,38.18,0.63,,8.90,943000,21000,3.83,27.52,7.17,3.47,21.04,66,-471395,116863982,118960880,235824862,20.47,146845783,88979079,1.71,4.17,Hybrid regime,16.50,Imran Khan,Prime Minister
